АБ419ЛХ;Джемпер женский;158-164- 88- 94;;Хлопок ;Хлопок 92%, Лайкра 8%;НЕТ;НЕТ;8;16;19,2
АБ419ЛХ-1;Костюм женский;158-164- 84- 90;;Хлопок ;Хлопок 92%, Эластан 8%;заказы;НЕТ;12;40,83;49
АБ420ЛХ;Джемпер женский;158-164- 88- 94;;Хлопок ;<>;НЕТ;НЕТ;6;33,33;40
АБ423ЛП;Легинсы женские;158-164- 84- 90;;Полиэстер однотон;ПЭ 100%;заказы;НЕТ;8;25;30
АБ424;Джемпер женский;158-164- 88- 94;;Х/Б;Хлопок 47%, ПАН 47%, Метанит 6%;НЕТ;НЕТ;1;45;54
АБ425;Джемпер женский;170-176-100-106;;П/Ш бел.;Шерсть 30% ПАН 70%;НЕТ;НЕТ;5;40;48
АБ425;Джемпер женский;158-164- 88- 94;;П/Ш бел.;Шерсть 30% ПАН 70%;НЕТ;НЕТ;4;40;48
АБ426;Джемпер женский;158-164- 88- 94;;П/Ш бел.;Шерсть 30% ПАН 70%;НЕТ;НЕТ;1;41;49,2
АБ430;Джемпер женский;158-164- 84- 90;;Х/Б;Хлопок 50%, ПАН 50%;лето;НЕТ;1;30;36
АБ432;Брюки женские;158-164- 88- 94;;П/Ш бел.;Шерсть 30% ПАН 70%;НЕТ;Stoll CMS 530HP multi dangle класс E 2,5.2;1;40;48
АБ435;Юбка женские;158-164- 84- 90;;Вискоза;Акрил 60%, Вискоза 25% ПЭ 15%;зима;НЕТ;1;41;49,2
АБ441;Свитер женский;158-164- 84- 90;;ПАН;ПАН 100%;зима;Stoll CMS 530HP multi dangle класс E 2,5.2;1;37;44,4
АБ443ЛХ;Джемпер женский;158-164- 84- 90;;Х/Б;<>;лето;НЕТ;1;15;18
АБ444;Джемпер женский;158-164- 88- 94;;ПАН;ПАН 100%;НЕТ;Stoll CMS 433TC класс 5;1;26;31,2
АБ449ДХ;Джемпер женский;158-164- 84- 90;;Х/Б;Хлопок 65%, ПЭ 35%, отделка: Хлопок 98%, Лайкра 2%;демисезонный вязаное;НЕТ;1;35;42
АБ455;Юбка женская;158-164- 84- 90;;П/Ш бел.;Шерсть 30% ПАН 70%;НЕТ;НЕТ;1;29;34,8
АБ455;Юбка женская;158-164- 92- 98;;П/Ш бел.;Шерсть 30% ПАН 70%;НЕТ;НЕТ;1;29;34,8
АБ456ДХ;Шорты женские;158-164- 84- 90;;Хлопок ;Хлопок 92%, Эластан 8%;демисезонный полотно;НЕТ;1;28;33,6
АБ457ДХ;Джемпер женский;158-164- 88- 94;;Хлопок ;Хлопок 92%, Лайкра 8%;демисезонный полотно;НЕТ;7;37;44,4
АБ457ДХ;Джемпер женский;170-176- 88- 94;;Хлопок ;Хлопок 92%, Лайкра 8%;демисезонный полотно;НЕТ;3;37;44,4
АБ457ДХ;Джемпер женский;170-176- 96-102;;Хлопок ;Хлопок 92%, Лайкра 8%;демисезонный полотно;НЕТ;3;37;44,4
АБ464;Джемпер женский;170-176-112-118;;;Шерсть 30% ПАН 70%;НЕТ;НЕТ;1;45,5;54,6
АБ466;Свитер женский;158-164- 88- 94;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;Stoll CMS 530HP multi dangle класс E 6.2;1;37;44,4
АБ471;Жилет женский;158-164- 92- 98;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;Stoll CMS 530HP multi dangle класс E 2,5.2;1;35;42
АБ473;Шарф-снуд женский ;25-55;;ПАН;ПАН 100%;зима;Stoll CMS 433TC класс 5;1;8;9,6
АБ477;Жакет женский;158-164- 88- 94;;Х/Б;Хлопок 50%  ПАН 50%;демисезонный вязаное;Stoll CMS 433TC класс 5;1;36;43,2
АБ477А;Жакет женский;158-164- 88- 94;;Х/Б;Хлопок 50%  ПАН 50%;демисезонный вязаное;НЕТ;1;46;55,2
АБ478;Жилет женский;158-164- 88- 94;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;Stoll CMS 433TC класс 5;1;30;36
АБ479;Жилет женский;158-164- 84- 90;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;Stoll CMS 433TC класс 5;1;29;34,8
АБ483;Джемпер женский;158-164- 84- 90;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;Stoll CMS 530HP multi dangle класс E 2,5.2;1;32;38,4
